home_zip,lvl1_mean,lvl1_frac,lvl2_mean,lvl2_frac,dcfc_mean,dcfc_frac,tot_chargers_mean,tot_chargers_frac
94089,2.391107236268527,0.32083696599825634,43.7895379250218,0.8331299040976461,5.306887532693985,0.5190932868352223,51.487532693984306,0.8831734960767219
94102,12.430130486358244,0.6809608540925267,87.69145907473309,0.8811981020166074,9.581257413997628,0.7164887307236062,109.70284697508897,0.905338078291815
94103,12.167531825485106,0.6852675812631319,88.91255716227907,0.8924731182795699,9.21486837226548,0.7184526016561612,110.29495736002966,0.9151526387343962
94104,18.60372340425532,0.7712765957446809,130.07712765957447,0.9228723404255319,13.808510638297872,0.7872340425531915,162.48936170212767,0.9441489361702128
94105,15.412363636363636,0.7507878787878788,120.51466666666667,0.9158787878787878,11.04,0.7796363636363637,146.9670303030303,0.9338181818181818
94107,12.144436561428403,0.7058058413148871,96.97664656497575,0.8954120846635922,9.219581411848173,0.7171573844152773,118.34066453825234,0.9183516613456308
94108,15.505367366412214,0.7445133587786259,111.66591125954199,0.8934875954198473,11.893368320610687,0.7513120229007634,139.0646469465649,0.9169847328244275
94109,13.4115606590712,0.7176519840913849,99.49209054753148,0.8978499446786878,10.362160222481386,0.7378068837654377,123.26581142908405,0.9199186627194162
94110,9.84448647819641,0.6436531874648536,75.40432493226318,0.8685650017892745,7.903123562190072,0.6681918102346506,93.15193497264966,0.8954808036398957
94111,13.206788744975436,0.7070120589548906,104.7641804376954,0.8950424296560965,10.592228673514962,0.7494417150513621,128.56319785618578,0.9173738276016078
94112,8.741254989484528,0.5662474784325507,63.86083093695008,0.7978239409416713,7.525795098502082,0.61614232370488,80.1278810249367,0.8289840765698099
94114,11.34874103543946,0.6632466104800293,88.22881222844579,0.89624666282782806,8.872480762183951,0.6931895513793646,108.4500340260692,0.9197508244778307
94115,11.841676432836653,0.6921145153189352,90.90378927395501,0.889781795859144,9.34985211228305,0.7141581561471064,112.09531781907472,0.9122718901724427
94116,8.981438998957247,0.5816475495307613,67.97522419186653,0.8127215849843586,7.313493222106361,0.616725755995829,84.27015641293013,0.8497601668404587
94117,11.360801502817784,0.6730536422458777,87.06687539135879,0.8940930912126905,8.678396994364434,0.6851179294510541,107.10607388854102,0.9166771029012732
94118,10.92215240375025,0.6633752244165171,81.91182924396568,0.859016556951925,8.569868342309993,0.6500598444045482,101.40384999002593,0.9001097147416717
94121,9.694684472374968,0.6146897093479968,72.18896744348433,0.8123417997730645,7.872959762590556,0.6193593436327136,89.75661167844986,0.8510517587501091
94122,9.441221277135966,0.6151453599085946,71.81131776056874,0.825028564174178,7.518376285387839,0.6209216706868097,88.77091532309255,0.8634632474292243
94123,13.573504710435989,0.7211714014459943,105.4433652231067,0.9045497699554517,10.370043087709048,0.7415467757248229,129.38691302125173,0.9244869641422625
94124,8.404696204508772,0.575987921070443,60.98734836257614,0.7618576560628938,7.0187952309054,0.5942625084604571,76.41083979799032,0.7972614151090749
94127,8.896760750142072,0.5854328471301383,70.83955294563364,0.8369956431142261,7.451600681947339,0.6291911346845993,87.18791437772305,0.8619056639515059
94128,5.782051282051282,0.4551282051282051,42.1474358974359,0.8012820512820512,6.705128205128205,0.6089743589743589,54.63461538461539,0.8141025641025641
94129,10.1757225433526,0.6173410404624278,81.2664739884393,0.8676300578034682,8.764739884393064,0.6710982658959538,100.20693641618497,0.8907514450867052
94130,9.893063583815028,0.5997109826589595,71.40028901734104,0.8424855491329479,8.101156069364162,0.6307803468208092,89.39450867052022,0.8771676300578034
94131,9.331053981195344,0.6169373397330529,75.16648037346309,0.8613978565323165,7.712275626273917,0.6459333289499639,92.20980998093235,0.8907225984614373
94132,8.015037593984962,0.540964480165932,62.68265491314493,0.8275213896810992,7.037788436608763,0.6187451387088411,77.73548094373865,0.8585688358828104
94133,13.107936078006501,0.7158044420368364,98.42334777898158,0.8779117009750813,10.485644637053088,0.738759479956663,122.01692849404117,0.9030335861321777
94134,8.357953575695511,0.570063150708312,61.58047448370029,0.7636542072025942,7.232974910394265,0.6009131251066735,77.17140296979007,0.7974483700290151
94158,12.920285544318858,0.7444973230220107,101.82004759071981,0.9045211183819155,9.595478881618085,0.7331945270672219,124.33581201665675,0.9229625223081499
