row,home_zip,lvl1_mean,lvl1_frac,lvl2_mean,lvl2_frac,dcfc_mean,dcfc_frac,tot_chargers_mean,tot_chargers_frac
550,95630,3.4399434472584214,0.2755409392672732,29.38806245389722,0.6416277354315221,3.596231866240472,0.3082431767887878,36.424237767396114,0.6913265306122449
551,95628,3.9702805910675742,0.2873429630859483,31.334218827826664,0.5969893187226741,4.012507609718302,0.325585256516686,39.31700702861254,0.6390503071559024
552,95630,3.4399434472584214,0.2755409392672732,29.38806245389722,0.6416277354315221,3.596231866240472,0.3082431767887878,36.424237767396114,0.6913265306122449
553,95827,4.058180398281921,0.2774306911362749,32.08639203436158,0.5867825068332683,3.7966614603670443,0.309156579461148,39.94123389301054,0.6344201483795392
555,95831,8.447093266415726,0.3728042659974906,58.728774571309074,0.6402655792555416,5.820629443747386,0.4087724801338352,72.99649728147219,0.6831869510664994
556,95842,2.9049670024314,0.25974296630774574,24.170059048280653,0.5658214657867315,3.5629732546022925,0.2959360889197638,30.637999305314345,0.6104202848211184
558,95818,9.054092097325558,0.42388900060325757,64.96209531469938,0.691232656344259,6.641664990951136,0.45646491051679067,80.65785240297608,0.7291373416448824
560,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
561,95819,8.400048875855328,0.43291788856304986,59.343230694037146,0.708822091886608,5.766495601173021,0.43132942326490714,73.5097751710655,0.7473118279569892
562,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
563,95835,6.438437348814707,0.36671504596032894,46.945331398161585,0.6343130140299952,5.2996492501209485,0.39338413159167873,58.683417997097244,0.6999879051765844
564,95829,4.690770546613793,0.2808490786097504,36.0477412331856,0.5700956379752741,3.9575460695124796,0.3189487598164995,44.69605784931187,0.6240572272762616
565,95820,5.019118600129618,0.30738820479585227,38.498314970836034,0.5906675307841867,4.473169151004536,0.34769928710304604,47.99060272197019,0.6375891121192482
566,95630,3.4399434472584214,0.2755409392672732,29.38806245389722,0.6416277354315221,3.596231866240472,0.3082431767887878,36.424237767396114,0.6913265306122449
567,95816,8.64148024750119,0.4366968110423608,63.69264635887672,0.7028795811518325,6.3178248453117565,0.45728224654926225,78.65195145168967,0.7427415516420752
568,95628,3.9702805910675742,0.2873429630859483,31.334218827826664,0.5969893187226741,4.012507609718302,0.325585256516686,39.31700702861254,0.6390503071559024
569,95628,3.9702805910675742,0.2873429630859483,31.334218827826664,0.5969893187226741,4.012507609718302,0.325585256516686,39.31700702861254,0.6390503071559024
570,95823,3.506188880530671,0.2520344662517951,29.299801682281338,0.5400396635437325,3.7862955617862273,0.3107433495178828,36.59228612459824,0.5972440675647952
571,95628,3.9702805910675742,0.2873429630859483,31.334218827826664,0.5969893187226741,4.012507609718302,0.325585256516686,39.31700702861254,0.6390503071559024
572,95833,6.136527594084406,0.3338343152579055,44.32024768546351,0.6170494168570398,4.993206685102802,0.37218949140315016,55.44998196465072,0.6674281591920164
573,95816,8.64148024750119,0.4366968110423608,63.69264635887672,0.7028795811518325,6.3178248453117565,0.45728224654926225,78.65195145168967,0.7427415516420752
574,95624,4.721842825943773,0.2953166707109925,37.07040593475925,0.5789163517870143,4.13623600374389,0.3290463479737928,45.928484764446914,0.6463410406628073
575,95608,4.406890130353817,0.29042830540037246,34.237765363128496,0.5942644320297952,4.118621973929237,0.3311731843575419,42.76327746741155,0.639292364990689
576,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
580,95821,4.287368926050305,0.2898362003975053,33.69371530395449,0.5937221574943459,4.236104447947365,0.33671441299431154,42.217188677952166,0.642382290453019
581,95608,4.406890130353817,0.29042830540037246,34.237765363128496,0.5942644320297952,4.118621973929237,0.3311731843575419,42.76327746741155,0.639292364990689
582,95834,5.939498703543648,0.34546240276577356,43.57182368193604,0.6167675021607606,5.128435609334486,0.38383751080380296,54.639757994814175,0.683923941227312
583,95630,3.4399434472584214,0.2755409392672732,29.38806245389722,0.6416277354315221,3.596231866240472,0.3082431767887878,36.424237767396114,0.6913265306122449
585,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
586,95831,8.447093266415726,0.3728042659974906,58.728774571309074,0.6402655792555416,5.820629443747386,0.4087724801338352,72.99649728147219,0.6831869510664994
587,95632,2.4915699583971973,0.20312385957229398,20.09882490329173,0.48412524633238446,2.6033136267425734,0.24049339464272682,25.1937084884315,0.5421502080140136
588,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
589,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
590,95621,2.860493484890491,0.27757138896589967,23.96578874410868,0.5838092597726643,3.638702522872193,0.30507346825616855,30.464984751871363,0.6271693928472415
592,95628,3.9702805910675742,0.2873429630859483,31.334218827826664,0.5969893187226741,4.012507609718302,0.325585256516686,39.31700702861254,0.6390503071559024
594,95628,3.9702805910675742,0.2873429630859483,31.334218827826664,0.5969893187226741,4.012507609718302,0.325585256516686,39.31700702861254,0.6390503071559024
595,95821,4.287368926050305,0.2898362003975053,33.69371530395449,0.5937221574943459,4.236104447947365,0.33671441299431154,42.217188677952166,0.642382290453019
596,95630,3.4399434472584214,0.2755409392672732,29.38806245389722,0.6416277354315221,3.596231866240472,0.3082431767887878,36.424237767396114,0.6913265306122449
597,95624,4.721842825943773,0.2953166707109925,37.07040593475925,0.5789163517870143,4.13623600374389,0.3290463479737928,45.928484764446914,0.6463410406628073
598,95610,2.778448582010045,0.2711176500431231,23.42453452386992,0.5709502308355741,3.469230378976206,0.29369387651565115,29.672213484856172,0.6169144132717772
599,95630,3.4399434472584214,0.2755409392672732,29.38806245389722,0.6416277354315221,3.596231866240472,0.3082431767887878,36.424237767396114,0.6913265306122449
600,95670,3.8279497175590738,0.28339565597899596,30.09077890046941,0.5856472273052749,3.6134935157928236,0.2976370435197709,37.53222213382131,0.6379186888376164
